generated_at,2026-05-30 21:11:26

scenario_id,question,expected_workflow,expected_evidence,expected_code_reference,received_trust,received_failures,received_evidence_matched,received_code_refs_found,received_response_excerpt
TEST_01,Suppression équipement DSROB362 impossible,delete_dslam,dépendances MRT | services actifs | données résiduelles,ManageDslamBusinessImpl.deleteDslam(),82,"FORENSIC_ERROR, MISSING_CODE_REFERENCE, MISSING_EVIDENCE",-,-,🧠 **Diagnostic** Aucune donnée live disponible pour `DSROB362`. *(Les serveurs Brasil ne sont pas accessibles en ce moment.)* *Type détecté : Équipement (DSLAM/OLT/routeur)* 🔍 **Cause racine** Non déterminée — les serveurs BDD/WA n'ont pas retourné de preuves. 📌 **Preuves détectées** Aucune ligne de log ni résultat DB disponible. ⚠️ **Vérifications à effectuer en accès direct** 1. Confirmer que `DSROB362` existe dans `t_equipments` (colonnes `eqpt_name` / `code_eqpt` / `lib_eqpt`) 2. Vérif
TEST_02,Quelle est la méthode Java qui supprime un DSLAM ?,code_lookup_only,classe | méthode | fichier | ligne,ManageDslamBusinessImpl.deleteDslam(),60,FORENSIC_ERROR,"méthode, ligne","ManageDslamBusinessImpl.deleteDslam(), ManageDslamManagerImpl.deleteDslamManager(), ManageDslamManagerBusinessImpl.deleteDslamManager(), ManageDslamBusinessImpl.checkProductionInfoIsPresent(), ManageDslamCardBusinessImpl.checkProductionInfoIsPresent()",### Diagnostic principal 🔎 **Fonction dans le code source** — `BRASIL` ### Preuves collectées 🔎 **Fonction dans le code source** — `BRASIL` **Opération** : `delete_equipment` 🟦 **Service** : `ManageDslamBusinessImpl.deleteDslam()` `ManageDslamBusinessImpl.java` ligne 1787 🟦 **Service** : `ManageDslamManagerImpl.deleteDslamManager()` `ManageDslamManagerImpl.java` ligne 128 🟦 **Service** : `ManageDslamManagerBusinessImpl.deleteDslamManager()` `ManageDslamManagerBusines
TEST_03,Comment créer un VLAN ?,create_vlan,validation d'entrée | contrôle ressources | création | activation | vérification,ManageCreationVlanBusinessImpl.creerVlan(),66,FORENSIC_ERROR,création,"ManageCreationVlanBusinessImpl.checkInputs(), ManageVlanBusinessImpl.checkVlanAvailability(), ManageCreationVlanBusinessImpl.creerVlan(), FileManager.writeRapportMassCreateVlan(), ManageVlanBusinessImpl.createVlan()","🧩 **Workflow** — Création d'un VLAN _Source: code_ 1. Vérifier les paramètres d'entrée (numéro de châssis, type de VLAN) _→ `ManageCreationVlanBusinessImpl.checkInputs()`_ ⚠️ Condition: _Si numéro de châssis null → ConnectorCreationVlanException_ 2. Contrôler la disponibilité du VLAN sur le châssis _→ `ManageVlanBusinessImpl.checkVlanAvailability()`_ 3. Créer le VLAN via le connecteur _→ `ManageCreationVlanBusinessImpl.creerVlan()`_ 4. Générer le rapport de création en masse si appl"
TEST_04,Pourquoi un VLAN est occupé ?,vlan_delete_diagnostic,ressources liées | dépendances | compteurs,ManageVlanBusinessImpl.deleteVlan(),89,"FORENSIC_ERROR, MISSING_CODE_REFERENCE, WORKFLOW_ERROR","dépendances, compteurs",-,"Un VLAN est marqué comme ""occupé"" dans BRASIL pour les raisons suivantes (selon les cas observés) : --- ### 🔍 **Causes identifiées** 1. **Résidus de configuration non synchronisés** - Même si l'interface IHM indique que le VLAN est vide, des tables de la base de données (ex: `t_d_controlable_rscs`, `t_net_resource_rels`) contiennent des liens vers ce VLAN via le `rpct_id`. - Exemple : ```sql ⚠️ Requête SQL retirée — contient des valeurs non résolues (placeholders). ```"
TEST_05,Erreur 1300,error_1300_diagnostic_flow,Noeud IP | ORRAHD | IAR | synchronisation,,54,"FORENSIC_ERROR, MISSING_EVIDENCE",-,-,"**Réponse technique pour l'ingénieur N3 :** L'erreur **1300** n'est pas documentée dans la base de connaissance fournie. Cependant, pour résoudre ce type d'erreur interne BRASIL, voici les étapes standard à suivre : --- ### 🔧 **Procédure N3 pour erreur BRASIL non documentée (1300)** 1. **Vérifier les logs BRASIL** - Accéder aux journaux d'activité BRASIL via l'IHM ou les fichiers de logs (`/var/log/brasil/` sur le serveur). - Rechercher les traces associées à l'erreur **1300** pour"
TEST_06,1201 : Il existe déjà un dossier avec cet IAR,error_1201_diagnostic_flow,IAR | dossier existant,,63,FORENSIC_ERROR,"iar, dossier existant",-,"**Réponse technique N3 (BRASIL) :** Pour résoudre l'erreur **1201 : Il existe déjà un dossier avec cet IAR**, suivez cette procédure validée : --- ### 🔍 **Étapes de diagnostic et correction** 1. **Vérifier l'existence d'un dossier avec le même IAR** Exécuter cette requête SQL sur la base BRASIL : ```sql SELECT * FROM ⚠️`t_dossiers` WHERE iar = '<IAR_CONCERNÉ>'; ``` - Si un dossier existe, notez son `dossier_id` et son état (`etat_dossier`). 2. **Analyser l'état du dossier"
TEST_07,Montre les logs de DSTEL460 aujourd'hui,forensic_logs,timestamps | source log | nb événements,,3,"FORENSIC_ERROR, MISSING_EVIDENCE, PROVENANCE_ERROR",-,-,**📋 Logs forensiques** _Aucune ligne de log trouvée pour `DSTEL460`._
TEST_08,Depuis quel fichier log proviennent ces informations ?,forensic_provenance,nom fichier | serveur | date | source,,25,"FORENSIC_ERROR, MISSING_EVIDENCE",-,-,**📋 Logs forensiques** _Aucune ligne de log trouvée._
TEST_09,Montre les exceptions détectées,forensic_exceptions,exceptions réellement présentes,,40,FORENSIC_ERROR,-,-,"### Diagnostic principal ⚠️ **Aucun contexte de diagnostic précédent** ### Preuves collectées no evidence available ### Source code Aucune référence code extraite. ### Action N3 ciblée Appliquer une vérification N3 ciblée en mode lecture seule, sans hypothèse non prouvée. Contexte: intent=`forensic_exceptions` entity=`?`"
TEST_10,Guide moi,guided_n3_questioning,symptôme | code erreur | équipement | ND,,0,"FORENSIC_ERROR, PROVENANCE_ERROR",nd,-,Je n'ai pas de procédure validée pour le type `unknown.insufficient_information` correspondant à votre demande. Informations détectées : • Application : Brasil Network Management • Requête : Guide moi **Recommandations :** 1. Vérifiez si une Fiche de Résolution (FR) existe pour ce cas 2. Consultez les tickets similaires dans JIRA 3. Escalader vers l'équipe N3 BRASIL avec les logs de l'application *Ce cas sera enregistré pour enrichissement futur de la base de connaissances.*
TEST_11,Quelle table est utilisée lors de la suppression d'un DSLAM ?,code_table_lookup,table indexée,ManageDslamBusinessImpl.deleteDslam(),78,"FORENSIC_ERROR, MISSING_CODE_REFERENCE, MISSING_EVIDENCE, SQL_MUTATION",-,-,"Pour identifier la table utilisée lors de la suppression d'un DSLAM dans l'application **Brasil Network Management**, des informations supplémentaires sont nécessaires. Veuillez fournir : 1. **Structure de la base de données** : - Les noms des tables liées à la gestion des DSLAM (ex. : `dslam_devices`, `network_equipment`, `inventory`, etc.). - Les relations entre ces tables (clé primaire/étrangère). 2. **Logs ou traces d'erreur** : - Messages d'erreur ou d'activité générés lo"
TEST_12,Quel workflow est exécuté lors de la création VLAN ?,create_vlan,services appelés | validations | ordre réel,ManageCreationVlanBusinessImpl.creerVlan(),72,"FORENSIC_ERROR, MISSING_EVIDENCE",-,"ManageCreationVlanBusinessImpl.checkInputs(), ManageVlanBusinessImpl.checkVlanAvailability(), ManageCreationVlanBusinessImpl.creerVlan(), FileManager.writeRapportMassCreateVlan(), ManageVlanBusinessImpl.createVlan()","🧩 **Workflow** — Création d'un VLAN _Source: code_ 1. Vérifier les paramètres d'entrée (numéro de châssis, type de VLAN) _→ `ManageCreationVlanBusinessImpl.checkInputs()`_ ⚠️ Condition: _Si numéro de châssis null → ConnectorCreationVlanException_ 2. Contrôler la disponibilité du VLAN sur le châssis _→ `ManageVlanBusinessImpl.checkVlanAvailability()`_ 3. Créer le VLAN via le connecteur _→ `ManageCreationVlanBusinessImpl.creerVlan()`_ 4. Générer le rapport de création en masse si appl"
TEST_13,Pourquoi DSTEL460 n'a plus de VLAN disponible ?,vlan_capacity_diagnostic,capacité | compteurs | ressources occupées | FR associé,,69,"FORENSIC_ERROR, MISSING_EVIDENCE",-,-,🧠 **Diagnostic** Aucune donnée live disponible pour `DSTEL460`. *(Les serveurs Brasil ne sont pas accessibles en ce moment.)* *Type détecté : Équipement (DSLAM/OLT/routeur)* 🔍 **Cause racine** Non déterminée — les serveurs BDD/WA n'ont pas retourné de preuves. 📌 **Preuves détectées** Aucune ligne de log ni résultat DB disponible. ⚠️ **Vérifications à effectuer en accès direct** 1. Confirmer que `DSTEL460` existe dans `t_equipments` (colonnes `eqpt_name` / `code_eqpt` / `lib_eqpt`) 2. Vérif
TEST_14,Montre moi la chronologie complète de l'incident,forensic_timeline,logs | DB | SSH | FR | ordre chronologique,,3,"FORENSIC_ERROR, MISSING_EVIDENCE, PROVENANCE_ERROR",-,-,_Aucun événement de timeline disponible._
TEST_15,Résume cet incident pour le dépositaire,ticket_summary_non_technical,message simple | sans jargon,,90,"FORENSIC_ERROR, MISSING_EVIDENCE, PROVENANCE_ERROR",-,-,"1. **Situation client** : Client Orange Telecom, application BRASIL, dégradation de service depuis le 15/03/2023. 2. **Anomalies détectées** : Échecs d'authentification (15 % des utilisateurs), réponse lente des requêtes API, impact régional Sud. 3. **Diagnostic** : Mise à jour de configuration du serveur BRASIL le 14/03/2023 identifiée comme cause probable. 4. **Actions recommandées / statut escalade** : Rollback de la configuration effectué, surveillance en cours. Escalade N4 en attente"
TEST_16,Résume cet incident pour les archives N3,n3_archive_summary,Cause | Diagnostic | Action | Résultat | Preuves,,90,"FORENSIC_ERROR, PROVENANCE_ERROR","cause, diagnostic, action",-,"1. **Situation client** : Client entreprise (Orange Telecom), problème détecté le 15/05/2023 concernant l'application BRASIL : échec du traitement des demandes de souscription client. 2. **Anomalies détectées** : - Délais d'obtention des commandes augmentés de 72h. - Logs d'erreur montrant un timeout dans l'intégration API avec le système de facturation. - Taux d'erreur de 40% sur les requêtes de souscription. 3. **Diagnostic** : Cause suspectée : surcharge ou configuration in"
TEST_17,Quels tickets Jira similaires existent ?,jira_similarity_search,tickets similaires,,30,"FORENSIC_ERROR, MISSING_EVIDENCE, PROVENANCE_ERROR",-,-,🔍 Aucun ticket Jira trouvé dans le projet **BRASIL** pour : *similaires existent Pattern récurrent*. Vous pouvez créer un nouveau ticket pour signaler ce problème.
TEST_18,Pourquoi cette suppression est bloquée ?,deletion_blocking_analysis,WHY | WHICH | WHERE | WHAT NEXT,ManageDslamBusinessImpl.deleteDslam(),61,"FORENSIC_ERROR, MISSING_CODE_REFERENCE, SQL_MUTATION",where,-,"La suppression du VLAN est bloquée pour une des raisons suivantes, à vérifier dans l'ordre : 1. **VLAN OCCUPÉ** - Vérifier sur l'IHM BRASIL (onglet ""Liste services"") si le VLAN contient des services actifs. - Si oui → L'erreur ""Le VLAN est occupé"" s'affiche. Informer l'utilisateur que la suppression est impossible tant que des services sont associés. 2. **PRÉSENCE DE TST SUP1G (BUG CONNU)** - Exécuter la requête SQL pour détecter des TST Sup1G liées au VLAN : ```sql"
